Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
Lego Star Wars: The Complete Saga,"Action-adventure, platformer",Traveller's Tales,LucasArts,"Nov 6, 2007","Nov 9, 2007",Unreleased,"Nov 7, 2007",,XBO
Lego Star Wars: The Force Awakens,"Action-adventure, platformer",Traveller's Tales,Warner Bros. Interactive Entertainment,"Jun 28, 2016","Jun 28, 2016",Unreleased,"Jun 28, 2016",,
Lego Star Wars II: The Original Trilogy,"Action-adventure, platformer",Traveller's Tales,LucasArts,"Sep 12, 2006","Sep 28, 2006",Unreleased,"Sep 15, 2006",,XBO
Lego Star Wars III: The Clone Wars,"Action-adventure, platformer",Traveller's Tales,LucasArts,"Mar 15, 2011","Mar 18, 2011",Unreleased,"Mar 30, 2011",,XBO
Leisure Suit Larry: Box Office Bust,Adventure,Team17,Sierra Entertainment,"Mar 31, 2009","Mar 27, 2009",Unreleased,"Apr 30, 2009",,
Let's Cheer,,Cat Daddy Games,2K Play,"Nov 7, 2011","Nov 25, 2011","Nov 25, 2011",Unreleased,K,
Let's Dance with Mel B,,Lightning Fish,Black Bean Games,"Apr 24, 2012","Jun 24, 2011",Unreleased,Unreleased,K,
Let's Sing and Dance,Music,Voxler Games,Deep Silver,"Oct 9, 2013",Unreleased,Unreleased,Unreleased,K   XBLA,
Life Is Strange,Action & Adventure,Dontnod Entertainment,Square Enix,"Oct 20, 2015","Oct 20, 2015",Unreleased,"Oct 20, 2015",XBLA,
Lightning Returns: Final Fantasy XIII,Role-playing,Square Enix,Square Enix,"Feb 11, 2014","Feb 14, 2014","Nov 21, 2013","Nov 22, 2013",,XBO   XE
Limbo,Puzzle & Trivia,Playdead,Microsoft Game Studios,"Jul 21, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Lips,Music,iNiS,Microsoft Game Studios,"Nov 11, 2008","Nov 21, 2008",Unreleased,"Nov 22, 2013",,
Lips: Canta en Español,Music,iNiS,Microsoft Studios,Unreleased,"Nov 22, 2013",Unreleased,Unreleased,,
Lips: I Love the 80's,Music,iNiS,Microsoft Studios,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Lips: Number One Hits,Music,iNiS,Microsoft Game Studios,"Oct 20, 2009","Oct 23, 2009",Unreleased,"Nov 22, 2013",,
Lips: Party Classics,Music,iNiS,Microsoft Game Studios,"Mar 4, 2010","Feb 26, 2010",Unreleased,"Nov 22, 2013",,
Lips: Deutsche Partyknaller,Music,iNiS,Microsoft Studios,Unreleased,"Nov 22, 2013",Unreleased,Unreleased,,
Little League World Series Baseball 2010,Sports,Now Production,Activision,"Jul 13, 2010","Jul 13, 2010",Unreleased,"Nov 22, 2013",,
LMA Manager 2007,Sports Management,Codemasters,Codemasters,Unreleased,"Sep 22, 2006",Unreleased,"Oct 13, 2006",,
LocoCycle,Racing & Flying,Twisted Pixel Games,Microsoft Studios,"Feb 14, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Lode Runner,Classics,Southend Interactive/Tozai Games,Microsoft Game Studios,"Apr 22, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Lollipop Chainsaw,Hack and slash,Grasshopper Manufacture,Warner Bros. Interactive Entertainment,"Jun 12, 2012","Jun 15, 2012","Jun 14, 2012","Nov 22, 2013",,
London 2012: The Official Video Game,"Sports, (Olympic)",Sega Studios Australia,Sega,"Jun 26, 2012","Jun 28, 2012",Unreleased,"Nov 22, 2013",3D   K,
Looney Tunes: Acme Arsenal,Action-adventure,Redtribe,Warner Bros. Interactive Entertainment,"Oct 9, 2007","Nov 30, 2007",Unreleased,"Nov 22, 2013",,
The Lord of the Rings: Conquest,Action,Pandemic Studios,Electronic Arts,"Jan 13, 2009","Jan 9, 2009","Jan 9, 2009","Nov 22, 2013",,
The Lord of the Rings: The Battle for Middle-earth II,RTS,EA Los Angeles,Electronic Arts,"Jul 5, 2006","Jul 14, 2006",Unreleased,"Nov 22, 2013",,
The Lord of the Rings: War in the North,RPG,Snowblind Studios,Warner Bros. Interactive Entertainment,"Nov 1, 2011","Nov 9, 2011",Unreleased,"Nov 22, 2013",,
Lost Cities,Card & Board,Sierra Entertainment,Sierra Entertainment,"Apr 23, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Lost Odyssey,Role-playing,Mistwalker,Microsoft Game Studios,"Feb 12, 2008","Feb 29, 2008","Dec 6, 2007","Nov 22, 2013",,XBO
Lost Planet 2,Third-person Shooter,Capcom,Capcom,"May 18, 2010","May 11, 2010","May 20, 2010","May 13, 2010",,XBO
Lost Planet 3,Third-person Shooter,Spark Unlimited,Capcom,"Aug 27, 2013","Aug 30, 2013","Aug 29, 2013","Aug 29, 2013",,XBO
Lost Planet: Extreme Condition,Third-person Shooter,Capcom,Capcom,"Jan 12, 2007","Jan 12, 2007","Dec 21, 2006","Jan 12, 2007",,XBO
Lost Planet: Extreme Condition Colonies Edition,"Third-person Shooter, Expansion",Capcom,Capcom,"May 27, 2008","May 27, 2008","May 29, 2008","May 27, 2008",,
Lost: Via Domus,Action-adventure,Ubisoft Montreal,Ubisoft,"Feb 26, 2008","Feb 29, 2008",Unreleased,"Nov 22, 2013",,
Love Football,Sports,Namco Bandai Games,Namco Bandai Games,Unreleased,Unreleased,"May 18, 2006","Nov 22, 2013",,
Love Tore: Bitter (a.k.a. ラブ*トレ/ Love*Tra),Visual novel,Boost On,Boost On,Unreleased,Unreleased,Unreleased,"Jan 31, 2013",K,
Love Tore: Chocolate (Love Tore Trilogy Set) (a.k.a. ラブ*トレ/ Love*Tra),Visual novel,Boost On,Boost On,Unreleased,Unreleased,Unreleased,"Mar 28, 2013",K,
Love Tore: Mint (a.k.a. ラブ*トレ/ Love*Tra),Visual novel,Boost On,Boost On,Unreleased,Unreleased,Unreleased,"Nov 29, 2012",K,
Love Tore: Sweet (a.k.a. ラブ*トレ/ Love*Tra),Visual novel,Boost On,Boost On,Unreleased,Unreleased,Unreleased,"Sep 27, 2012",K,
Lucha Fury,Fighting,Punchers Impact,Coktel,"Jun 22, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Lucha Libre AAA 2010: Héroes del Ring,Sports,Immersion Software,Sabarasa Studios,"Oct 12, 2010","Oct 12, 2010",Unreleased,"Nov 22, 2013",,
Lucidity,Action & Adventure,LucasArts,Disney Interactive Studios,"Oct 7, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Lumines Live!,Puzzle & Trivia,Q Entertainment,Microsoft Game Studios,"Oct 18, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Luxor 2,Puzzle & Trivia,MumboJumbo,Microsoft Game Studios,"Apr 4, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Machi-ing Maker 4,Puzzle Game,D3Publisher,D3Publisher,Unreleased,Unreleased,"Nov 23, 2011",Unreleased,,
Mad Riders,Racing & Flying,Techland,Ubisoft,"May 30, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Mad Tracks,Racing & Flying,Load,Microsoft Game Studios,"May 30, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Madagascar 3: The Video Game,"Action-adventure, Platformer",Monkey Bar Games,D3 Publisher,"Jun 5, 2012","Oct 12, 2012",Unreleased,"Dec 12, 2012",,
Madagascar Kartz,Racing,Sidhe Interactive,Activision,"Oct 23, 2009","Nov 6, 2009",Unreleased,Unreleased,,
Madagascar: Escape 2 Africa,Action,Papaya Studio,Activision,"Nov 4, 2008","Nov 28, 2008",Unreleased,"Nov 26, 2008",,
Madballs in Babo: Invasion,Shooter,Playbrains,Microsoft Game Studios,"Jul 15, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Madden NFL 06,Sports,EA Tiburon,EA Sports,"Nov 22, 2005","Dec 2, 2005",Unreleased,"Mar 23, 2006",,
Madden NFL 07,Sports,EA Tiburon,EA Sports,"Aug 22, 2006","Sep 8, 2006","Dec 21, 2006","Sep 6, 2006",,
Madden NFL 08,Sports,EA Tiburon,EA Sports,"Aug 14, 2007","Aug 31, 2007","Sep 20, 2007","Aug 23, 2007",,
Madden NFL 09,Sports,EA Tiburon,EA Sports,"Aug 12, 2008","Aug 15, 2008","Sep 25, 2008","Aug 14, 2008",,
Madden NFL 10,Sports,EA Tiburon,EA Sports,"Aug 14, 2009","Aug 14, 2009",Unreleased,"Aug 13, 2009",,
Madden NFL 11,Sports,EA Tiburon,EA Sports,"Aug 10, 2010","Aug 13, 2010",Unreleased,"Aug 12, 2010",,
Madden NFL 12,Sports,EA Tiburon,EA Sports,"Aug 30, 2011","Sep 2, 2011",Unreleased,"Sep 1, 2011",,
Madden NFL 13,Sports,EA Tiburon,EA Sports,"Aug 28, 2012","Aug 31, 2012",Unreleased,"Aug 30, 2012",K,
Madden NFL 15,Sports,EA Tiburon,EA Sports,"Aug 26, 2014","Aug 31, 2014",Unreleased,"Aug 30, 2014",K,
Madden NFL 16,Sports,EA Tiburon,EA Sports,"Aug 25, 2015","Aug 25, 2015",Unreleased,"Aug 25, 2015",K,
Madden NFL 17,Sports,EA Tiburon,EA Sports,"Aug 23, 2016","Aug 23, 2016",Unreleased,"Aug 23, 2016",K,
Madden NFL 25,Sports,EA Tiburon,EA Sports,"Aug 27, 2013","Aug 30, 2013",Unreleased,"Aug 29, 2013",K,
Madden NFL Arcade,Sports & Recreation,EA Tiburon,Electronic Arts,"Nov 25, 2009","Apr 10, 2010",Unreleased,"Apr 10, 2010",XBLA,
Mafia II,"Third-person Shooter, Action-adventure",2K Czech,2K Games,"Aug 24, 2010","Aug 27, 2010",Unreleased,"Aug 27, 2010",,XBO
Magic: The Gathering – Duels of the Planeswalkers,Card & Board,Stainless Games,Wizards of the Coast,"Jun 17, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Magic: The Gathering 2012,Card & Board,Stainless Games,Wizards of the Coast,"Jun 15, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Magic: The Gathering 2013,Card & Board,Stainless Games,Wizards of the Coast,"Jun 20, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Magic: The Gathering 2014,Card & Board,Stainless Games,Wizards of the Coast,"Jun 26, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Magic: The Gathering 2015,Card & Board,Stainless Games,Wizards of the Coast,"Jul 16, 2014",Unreleased,Unreleased,Unreleased,XBLA,
MagnaCarta 2,RPG,Softmax,Banpresto,"Oct 13, 2009","Oct 16, 2009","Aug 6, 2009","Oct 28, 2009",,
Magrunner: Dark Pulse,Action & Adventure,Frogwares,Focus Home Interactive,"Oct 25, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Mahjong * Dream C Club,Puzzle Game,D3Publisher,D3Publisher,Unreleased,Unreleased,"Mar 29, 2012",Unreleased,,
Maji-Ten: Maji de Tenshi o Tsukutte Mita,Visual novel,Idea Factory,Idea Factory,Unreleased,Unreleased,"Sep 20, 2012",Unreleased,,
Majin and the Forsaken Kingdom,"Action-adventure, Puzzle, Platformer",Game Republic,Namco Bandai Games,"Nov 23, 2010","Nov 26, 2010","Jan 20, 2011","Nov 25, 2010",,
Major League Baseball 2K6,Sports,Visual Concepts,2K Sports,"Apr 3, 2006","Apr 3, 2006","Apr 3, 2006","Nov 22, 2013",,
Major League Baseball 2K7,Sports,Kush Games,2K Sports,"Feb 27, 2007","Feb 27, 2007","Nov 8, 2007","Nov 22, 2013",,
Major League Baseball 2K8,Sports,Kush Games,2K Sports,"Mar 3, 2008","Mar 3, 2008","Nov 27, 2008","Nov 22, 2013",,
Major League Baseball 2K9,Sports,Visual Concepts,2K Sports,"Mar 3, 2009","Mar 3, 2009","Jul 9, 2009","Nov 22, 2013",,
Major League Baseball 2K10,Sports,Visual Concepts,2K Sports,"Mar 2, 2010","Mar 2, 2010",Unreleased,Unreleased,,
Major League Baseball 2K11,Sports,Visual Concepts,2K Sports,"Mar 8, 2011","Mar 8, 2011",Unreleased,"Mar 18, 2011",,
Major League Baseball 2K12,Sports,Visual Concepts,2K Sports,"Mar 6, 2012","Mar 6, 2012",Unreleased,"Nov 22, 2013",,
Major League Baseball 2K13,Sports,Visual Concepts,2K Sports,"Mar 5, 2013","Mar 5, 2013",Unreleased,"Nov 22, 2013",,
Mamoru-kun wa Norowarete Shimatta!,Scrolling Shooter,Crave Games,Discovery Channel,Unreleased,Unreleased,"Jun 25, 2009","Nov 22, 2013",,
Man Vs. Wild With Bear Grylls,Adventure,G.rev,G.rev,"Apr 12, 2011","Apr 12, 2011",Unreleased,"Nov 22, 2013",,
Marathon: Durandal,Action & Adventure,Freeverse,Microsoft Game Studios,"Aug 1, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Marble Blast Ultra,Action & Adventure,GarageGames,Microsoft Game Studios,"Jan 25, 2006",Unreleased,Unreleased,Unreleased,XBLA,
Mark of the Ninja,Action & Adventure,Klei Entertainment,Microsoft Studios,"Sep 7, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Marlow Briggs and the Mask of Death,Action & Adventure,ZootFly,505 Games,"Sep 20, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Mars: War Logs,Role Playing,Spiders,Focus Home Interactive,"Jul 26, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Marvel Avengers: Battle for Earth,,Ubisoft Quebec,Ubisoft,"Oct 30, 2012","Nov 9, 2012",Unreleased,"Nov 8, 2012",K,
Marvel Puzzle Quest: Dark Reign,Puzzle & Trivia,WayForward Technologies,D3 Publisher,"Oct 16, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Marvel Super Hero Squad: Comic Combat,Fighting,Griptonite Games,THQ,"Nov 15, 2011","Nov 18, 2011",Unreleased,"Nov 22, 2013",,
Marvel Super Hero Squad: The Infinity Gauntlet,Beat 'em Up,Griptonite Games,THQ,"Nov 16, 2010","Nov 16, 2010",Unreleased,"Nov 22, 2013",,
Marvel vs. Capcom 2: New Age of Heroes,Classics,Capcom/Backbone Entertainment,Capcom,"Jul 29, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,Capcom,Capcom,"Feb 15, 2011","Feb 18, 2011","Feb 17, 2011","Nov 22, 2013",,
Marvel vs. Capcom Origins,Fighting,Capcom/Iron Galaxy,Capcom,"Sep 26, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Marvel: Ultimate Alliance,Action RPG,Raven Software,Activision,"Oct 24, 2006","Nov 3, 2006",Unreleased,"Nov 1, 2006",,
Marvel: Ultimate Alliance 2,Action RPG,Raven Software,Activision,"Sep 15, 2009","Sep 25, 2009",Unreleased,"Nov 22, 2013",,
Masquerade: The Baubles of Doom,Action & Adventure,Big Ant Studios,Home Entertainment Suppliers,"Apr 20, 2016",Unreleased,Unreleased,Unreleased,XBLA,XBO
Mass Effect,Action RPG,BioWare,Microsoft Game Studios,"Nov 20, 2007","Nov 23, 2007","May 21, 2009","Nov 22, 2013",,XBO
Mass Effect 2,Action RPG,BioWare,Electronic Arts,"Jan 26, 2010","Jan 29, 2010",Unreleased,"Nov 22, 2013",,XBO
Mass Effect 3,Action RPG,BioWare,Electronic Arts,"Mar 6, 2012","Mar 9, 2012","Mar 15, 2012","Nov 22, 2013",K,XBO
Matt Hazard: Blood Bath and Beyond,Action & Adventure,Vicious Cycle Software,D3 Publisher,"Jan 6, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
The Maw,Action & Adventure,Twisted Pixel Games,Microsoft Game Studios,"Jan 21, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Max Payne 3,Third-person Shooter,Rockstar Vancouver,Rockstar Games,"May 15, 2012","May 18, 2012","May 18, 2012","Nov 22, 2013",,XBO
Max: The Curse of Brotherhood,Action & Adventure,Press Play,Microsoft Studios,"May 21, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Mayhem 3D,Racing,Left Field Productions,Rombax Games,"Mar 25, 2011","Mar 25, 2011",Unreleased,"Nov 22, 2013",3D,
Medal of Honor,First-person Shooter,Danger Close Games,Electronic Arts,"Oct 12, 2010","Oct 15, 2010","Oct 21, 2010","Nov 22, 2013",,
Medal of Honor: Airborne,First-person Shooter,EA Los Angeles,Electronic Arts,"Sep 4, 2007","Sep 7, 2007","Nov 8, 2007","Nov 22, 2013",,XBO
Medal of Honor: Warfighter,First-person Shooter,Danger Close Games,Electronic Arts,"Oct 23, 2012","Oct 26, 2012","Oct 25, 2012","Nov 22, 2013",,
Meet the Robinsons,"Action-adventure, Platformer",Avalanche Software,Disney Interactive Studios,"Mar 27, 2007","Mar 30, 2007",Unreleased,"Nov 22, 2013",,XBO
Mega Man 9,Action & Adventure,Inti Creates/Capcom,Capcom,"Oct 1, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Mega Man 10,Action & Adventure,Inti Creates/Capcom,Capcom,"Mar 31, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Megamind: Ultimate Showdown,Action,THQ,THQ,"Nov 2, 2010","Nov 2, 2010",Unreleased,"Nov 22, 2013",,
Meikyuu Cross Blood: Reloaded,Action & Adventure,Kadokawa,Kadokawa,Unreleased,Unreleased,"Nov 10, 2011",Unreleased,,
Memories Off 6: Next Relation,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Aug 27, 2009","Nov 22, 2013",,
Memories Off 6: T-wave,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Aug 27, 2009","Nov 22, 2013",,
Memories Off: Yubikiri no Kioku,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Jul 29, 2010","Nov 22, 2013",,
Men in Black: Alien Crisis,Action-adventure,Fun Labs,Activision,"May 22, 2012","May 25, 2012",Unreleased,"Nov 22, 2013",,
Mercenaries 2: World in Flames,"Third-person Shooter, Open World",Pandemic Studios,Electronic Arts,"Aug 31, 2008","Sep 5, 2008","Nov 20, 2008","Nov 22, 2013",,
Mercury Hg,Puzzle & Trivia,Eiconic Games,UTV Ignition Entertainment,"Sep 28, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Merv Griffin's Crosswords,Family & Educational,Pipeworks Software,THQ,"Dec 31, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Metal Gear Rising: Revengeance,"Hack & Slash, Action",Kojima Productions,Konami,"Feb 19, 2013","Feb 21, 2013","Feb 21, 2013","Nov 22, 2013",,XBO
Metal Gear Solid HD Collection,"Third-person Shooter, Stealth, Action",Kojima Productions,Konami,"Nov 8, 2011","Feb 2, 2012","Nov 10, 2011","Nov 22, 2013",,XBO
Metal Gear Solid V: Ground Zeroes,"Stealth, Action",Kojima Productions,Konami,"Mar 18, 2014","Mar 20, 2014","Mar 20, 2014","Nov 22, 2013",,
Metal Gear Solid V: The Phantom Pain,"Stealth, Action",Kojima Productions,Konami,"Sep 1, 2015","Sep 1, 2015","Sep 1, 2015","Nov 22, 2013",,
Metal Gear Solid: Peace Walker HD Edition,"Action-adventure, Stealth",Kojima Productions,Konami,"Nov 8, 2011","Feb 3, 2012","Nov 10, 2011","Feb 16, 2012",,XBO
Metal Slug 3,Classics,SNK,SNK,"Jan 2, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Metal Slug XX,Classics,SNK,SNK,"May 19, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Meteos Wars,Puzzle & Trivia,Q Entertainment,Q Entertainment,"Dec 10, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Metro 2033,"Survival Horror, First-person Shooter",4A Games,THQ,"Mar 16, 2010","Mar 19, 2010",Unreleased,"Nov 22, 2013",,
Metro: Last Light,"Survival Horror, First-person Shooter",4A Games,Deep Silver,"May 14, 2013","May 17, 2013",Unreleased,"Nov 22, 2013",,
Michael Jackson: The Experience,Music,Ubisoft Montreal,Ubisoft,"Apr 12, 2011","Apr 15, 2011","Dec 8, 2011","Apr 14, 2011",K,
Michael Phelps: Push The Limit,,Blitz Games Studios,505 Games,"Oct 11, 2011","Oct 14, 2011",Unreleased,Unreleased,K,
MicroBot,Shooter,Naked Sky Entertainment,Electronic Arts,"Dec 29, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Middle-earth: Shadow of Mordor,Action role-playing game,Monolith Productions,Warner Bros. Interactive Entertainment,"Oct 7, 2014","Oct 7, 2014","Oct 7, 2014","Nov 22, 2013",,
Midnight Club: Los Angeles,Racing,Rockstar San Diego,Rockstar Games,"Oct 20, 2008","Oct 10, 2008","Feb 5, 2009","Nov 22, 2013",,XBO
Midway Arcade Origins,Compilation,Backbone Entertainment,Warner Bros.,"Nov 6, 2012","Nov 6, 2012",Unreleased,"Nov 22, 2013",,XBO
Might & Magic: Clash of Heroes HD,Role Playing,Capybara Games,Ubisoft,"Apr 13, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Might & Magic: Duel of Champions - Forgotten Wars,Strategy & Simulation,Ubisoft,Ubisoft,"Jul 23, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Mighty No. 9,Action & Adventure,Comcept/Inti Creates,Deep Silver,"Jun 21, 2016",Unreleased,Unreleased,Unreleased,XBLA,
Military Madness: Nectaris,Turn-based Strategy,Backbone Entertainment,Hudson Soft,"Sep 30, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
MindJack,Third-person Shooter,feelplus,Square Enix,"Jan 18, 2011","Jan 21, 2011","Jan 27, 2011","Nov 22, 2013",,
Minecraft: Story Mode,Graphic adventure & interactive movie,Telltale Games,Telltale Games,"Oct 27, 2015","Oct 27, 2015",Unreleased,"Nov 22, 2013",,
Minecraft: Story Mode Season Two,Graphic adventure & interactive movie,Telltale Games,Telltale Games,"Sep 19, 2017","Sep 19, 2017",Unreleased,Unreleased,,
Minecraft: Xbox 360 Edition,Sandbox,4J Studios,Microsoft Studios,"May 9, 2012","May 9, 2012","May 9, 2012","Nov 22, 2013",,
Minesweeper Flags,Puzzle & Trivia,TikGames,Microsoft Game Studios,"Feb 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Mini Ninjas,Action-adventure,IO Interactive,Eidos Interactive,"Sep 8, 2009","Sep 11, 2009",Unreleased,"Nov 22, 2013",,
Mini Ninjas Adventures,Kinect,Side Kick LTD,Square Enix,"Jun 29, 2012",Unreleased,Unreleased,Unreleased,K   XBLA,
Minute To Win It,,,Zoo Games,"Oct 18, 2011",Unreleased,Unreleased,Unreleased,K,
Mirror's Edge,"Action-adventure, Platform,",Digital Illusions CE,Electronic Arts,"Nov 12, 2008","Nov 14, 2008","Dec 11, 2008","Nov 22, 2013",,XBO   XE
The Misadventures of P.B. Winterbottom,Puzzle & Trivia,The Odd Gentlemen,2K Play,"Feb 17, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Missile Command,Classics,Stainless Games/Atari,Atari,"Jul 4, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
MLB Bobblehead Battle,Sports & Recreation,Konami,Konami,"Sep 28, 2011",Unreleased,Unreleased,Unreleased,XBLA,
MLB Bobblehead Pros,Sports & Recreation,Konami,Konami,"Jul 6, 2011",Unreleased,Unreleased,Unreleased,XBLA,
MLB Front Office Manager,Sports Management,Blue Castle Games,2k Sports,"Jan 26, 2009","Jan 26, 2009",Unreleased,"Nov 22, 2013",,
MLB Stickball,Sports & Recreation,Gaia Industries,2K Sports,"Oct 8, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Moe Moe 2-Ji Daisenryaku Ultra Deluxe,Shooter,SystemSoft,SystemSoft,Unreleased,Unreleased,"Mar 18, 2010",Unreleased,,
Mobile Ops: The One Year War,First-person shooterthird-person shooter,Dimps,Namco Bandai Games,Unreleased,Unreleased,"Jun 26, 2008","Nov 22, 2013",,
Momotarou Dentetsu 16 Gold,Board Game,Hudson Soft,Hudson Soft,Unreleased,Unreleased,"Dec 6, 2007",Unreleased,,
Monaco: What's Yours Is Mine,Action & Adventure,Pocketwatch Games,Majesco Entertainment,"May 10, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Monday Night Combat,Shooter,Uber Entertainment,Microsoft Game Studios,"Aug 11, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Monkey Island 2 Special Edition: LeChuck's Revenge,Classics,LucasArts,Disney Interactive Studios,"Jul 7, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Monopoly,Board game,EA Bright Light,Electronic Arts,"Oct 22, 2008","Oct 24, 2008",Unreleased,"Nov 22, 2013",,
Monopoly Deal,Card & Board,Asobo Studio,Ubisoft,"Jan 14, 2015",Unreleased,Unreleased,Unreleased,XBLA,XBO
Monopoly Plus,Card & Board,Asobo Studio,Ubisoft,"Jan 14, 2015",Unreleased,Unreleased,Unreleased,XBLA,XBO
Monopoly Streets,Board game,Electronic Arts,Electronic Arts,"Oct 26, 2010","Nov 12, 2010",Unreleased,"Nov 22, 2013",,
Monster High: New Ghoul in School,Adventure,Little Orbit,Little Orbit,"Oct 27, 2015","Oct 27, 2015",Unreleased,"Nov 22, 2013",,
Monster Hunter Frontier,Action role-playing,Capcom,Microsoft Game Studios,Unreleased,Unreleased,"Jun 24, 2010","Nov 22, 2013",,
Monster Hunter Frontier G1,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Apr 17, 2013",Unreleased,,
Monster Hunter Frontier G2,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Jul 10, 2013",Unreleased,,
Monster Hunter Frontier G3,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Oct 16, 2013",Unreleased,,
Monster Hunter Frontier G5,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Jul 23, 2014",Unreleased,,
Monster Hunter Frontier G6,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Nov 19, 2014",Unreleased,,
Monster Hunter Frontier G7,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Apr 15, 2015",Unreleased,,
Monster Hunter Frontier G8,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Jul 22, 2015",Unreleased,,
Monster Hunter Frontier G9,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Nov 18, 2015",Unreleased,,
Monster Hunter Frontier G10,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Apr 21, 2016",Unreleased,,
Monster Hunter Frontier GG,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Apr 23, 2014",Unreleased,,
Monster Hunter Frontier Z,"Action role-playing, Expansion",Capcom,Capcom,Unreleased,Unreleased,"Nov 9, 2016",Unreleased,,
Monster Jam,Racing,Torus Games,Activision,"Nov 13, 2007","May 30, 2008",Unreleased,"Nov 22, 2013",,
Monster Jam Battlegrounds,Racing & Flying,Team 6,GameMill Entertainment,"Jun 10, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Monster Jam: Path of Destruction,Racing,Virtuos,Activision,"Nov 9, 2010","Nov 9, 2010",Unreleased,"Nov 22, 2013",,
Monster Madness: Battle for Suburbia,"Shoot 'em up, Action-adventure",Artificial Studios,SouthPeak Games,"Jun 12, 2007","Jun 22, 2007",Unreleased,"Nov 22, 2013",,
Monsters vs. Aliens,"Action-adventure, platformer",Activision,Activision,"Mar 27, 2009","Apr 2, 2009","Apr 3, 2009","Nov 22, 2013",,
Moon Diver,Action & Adventure,Feelplus,Square Enix,"May 4, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
MorphX,"Action-adventure, Third-person shooter","Buka Entertainment, Targem Games",505 Games,"Sep 28, 2010","Sep 24, 2010",Unreleased,"Nov 22, 2013",,
Mortal Kombat,Fighting,NetherRealm Studios,Warner Bros. Interactive Entertainment,"Apr 19, 2011","Apr 21, 2011",Unreleased,"Nov 22, 2013",,
